game_date,player,team,opp,stat,side,line,pred_mean,p_hit,minutes_proj,edge_raw,edge_norm,edge_rank_pct,score_safe,score_balanced,score_lotto,rank_score,overall_rank,overall_rank_pct,stat_rank,stat_rank_pct,team_rank,player_rank,edge_tier,can_safe,can_balanced,can_lotto,baseline_mean,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,reb_top_bucket_bonus,ast_extreme_tail_penalty,score
2025-01-02,James Harden,LAC,OKC,ast,under,7.5,6.1391864854554665,0.7246050856116896,34.593333599999994,1.3608135145445335,0.5093006734684647,0.6504559270516718,0.8680998721929231,0.8291505734757199,0.8054643793437057,0.9898341279425821,134,0.468,47,0.2698412698412698,18,3,tier_4,1,1,1,4.8,poisson,0.0,1,ok,ast_hgbr,v1,0.9609259333333332,0.22460508561168957,0.04,0.0,0.0,0.0,0.8291505734757199
2025-01-02,Bobby Portis,MIL,BRK,ast,over,2.5,3.662858317739862,0.7082275822301692,32.839999999999996,1.162858317739862,0.538518582438285,0.6960486322188449,0.8368558390532584,0.8271677789191452,0.8209743653571991,0.989177669591873,135,0.464,48,0.25396825396825395,16,2,tier_4,1,1,1,5.0,poisson,0.0,1,ok,ast_hgbr,v1,0.9122222222222222,0.20822758223016924,0.04,0.0,0.0,0.0,0.8271677789191452
2025-01-02,Anthony Davis,LAL,POR,ast,over,3.5,4.812934727958085,0.7077274034547951,31.82,1.3129347279580852,0.5445595925462464,0.7112462006079028,0.8277000802195725,0.8258194796497352,0.8230519778936548,0.9889905150243344,136,0.46,49,0.23809523809523808,10,2,tier_4,1,1,1,4.6000000000000005,poisson,0.0,1,ok,ast_hgbr,v1,0.883888888888889,0.20772740345479512,0.04,0.0,0.0,0.0,0.8258194796497352
2025-01-02,Andrew Wiggins,GSW,PHI,reb,under,5.5,4.375823977121474,0.7239838657994384,31.859999800000004,1.124176022878526,0.48485491022661575,0.7648809523809523,0.7559008867548307,0.817968715554427,0.8789553097983116,0.9838709331072653,137,0.456,38,0.4393939393939394,5,3,tier_4,1,1,1,5.6,poisson,0.0,1,ok,reb_hgbr,v1,0.8849999944444445,0.2239838657994384,0.03,0.0,0.0,0.0,0.817968715554427
2025-01-02,Derrick White,BOS,MIN,reb,over,3.5,4.710145399333962,0.6919102110531345,33.896666999999994,1.2101453993339621,0.506423640123057,0.7797619047619048,0.7402704283688388,0.8159545350215254,0.8952750606403371,0.9802907839262356,138,0.452,39,0.42424242424242425,13,3,tier_4,1,1,1,3.4,poisson,0.0,1,ok,reb_hgbr,v1,0.9415740833333331,0.19191021105313455,0.03,0.0,0.0,0.0,0.8159545350215254
2025-01-02,Scoot Henderson,POR,LAL,ast,under,5.5,4.283260882132946,0.739441128895014,26.446667399999995,1.2167391178670544,0.5293542967925713,0.6930091185410334,0.8117710978165223,0.8135747930808499,0.8018132589668043,0.973815390982153,139,0.448,50,0.2222222222222222,10,3,tier_4,1,1,1,5.6,poisson,0.0,1,ok,ast_hgbr,v1,0.7346296499999999,0.239441128895014,0.04,0.0,0.0,0.0,0.8135747930808499
2025-01-02,Aaron Wiggins,OKC,LAC,fg3,under,2.5,1.5130203714202086,0.7941188708303712,18.039999899999998,0.9869796285797914,0.6226015309780978,0.6893203883495146,0.7100383054172019,0.8234077187884776,0.9067937292826118,0.9691807611041551,140,0.444,51,0.15254237288135594,18,3,tier_4,0,1,1,1.3125,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.5011111083333333,0.29411887083037125,0.1,0.0,0.0,0.0,0.8234077187884776
2025-01-02,Jalen Williams,OKC,LAC,ast,under,6.5,5.245042200781831,0.7255471501235556,32.313334,1.254957799218169,0.5021823367379475,0.6382978723404256,0.8428426751670883,0.8111602097568569,0.7889885867534374,0.9675534954098539,141,0.44,51,0.20634920634920634,19,3,tier_4,1,1,1,6.0,poisson,0.0,1,ok,ast_hgbr,v1,0.897592611111111,0.22554715012355564,0.04,0.0,0.0,0.0,0.8111602097568569
2025-01-02,Taurean Prince,MIL,BRK,reb,under,4.5,3.428524710113019,0.7388679398978099,23.18666659999999,1.071475289886981,0.5091580608109664,0.7857142857142857,0.7012909061151861,0.8024897543559052,0.877589826029495,0.964424761767366,142,0.436,40,0.4090909090909091,17,3,tier_4,1,1,1,3.4,poisson,0.0,1,ok,reb_hgbr,v1,0.644074072222222,0.23886793989780986,0.03,0.0,0.0,0.0,0.8024897543559052
2025-01-02,Jaylen Brown,BOS,MIN,ast,over,3.5,4.7200629210123,0.6934625339315348,35.770000399999994,1.2200629210122997,0.5101311289425904,0.6534954407294833,0.8353629454124768,0.8060950308784791,0.7943784977558764,0.9631632668093382,143,0.432,52,0.19047619047619047,14,3,tier_4,1,1,1,4.0,poisson,0.0,1,ok,ast_hgbr,v1,0.993611122222222,0.19346253393153479,0.04,0.0,0.0,0.0,0.8060950308784791
