game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_abs,score_safe,score_balanced,score_lotto
2025-01-08,Nicolas Batum,LAC,DEN,reb,3.0036444245362253,2.6,14.57666639999999,poisson,0.0,1,ok,reb_hgbr,v1,4.5,under,0.814650495419394,-1.4963555754637747,1.4963555754637747,0.8786722235312192,0.8969641458488836,0.915256068166548
2025-01-08,Andre Jackson Jr.,MIL,SAS,fg3,0.2796058289682802,0.19999999999999998,15.7166664,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9642414363171368,-1.2203941710317199,1.2203941710317199,0.9115153836745735,0.8964507972052698,0.881386210735966
2025-01-08,Shai Gilgeous-Alexander,OKC,CLE,fg3,2.036191696739892,2.007272727272727,33.613333199999985,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,3.5,under,0.8284144783511361,-1.463808303260108,1.463808303260108,0.8800244539855684,0.8947701613096919,0.9095158686338154
2025-01-08,Gradey Dick,TOR,NYK,fg3,2.0380600168860026,2.466666666666667,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,3.5,under,0.8280836960953176,-1.4619399831139974,1.4619399831139974,0.8793735044424879,0.8940277353988223,0.9086819663551566
2025-01-08,Kelly Oubre Jr.,PHI,WAS,ast,1.9142961481556018,1.5161290322580643,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.8525544240875325,1.4142961481556018,1.4142961481556018,0.8841625902250602,0.8931934948357824,0.9022243994465046
2025-01-08,Andrew Nembhard,IND,CHI,fg3,1.1376744583519196,0.9851851851851852,31.089999799999998,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8788539220433699,-1.3623255416480804,1.3623255416480804,0.8891307971289106,0.892067047153351,0.8950032971777911
2025-01-08,Dario Šarić,DEN,LAC,reb,3.021750636389025,3.2727272727272725,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,4.5,under,0.8115953028349826,-1.478249363610975,1.478249363610975,0.8724615684022186,0.8898519299928573,0.9072422915834963
2025-01-08,Brook Lopez,MIL,SAS,fg3,1.1444668946539531,2.29811320754717,27.7699998,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8774184330343684,-1.3555331053460469,1.3555331053460469,0.8866128285258523,0.8892397986662763,0.8918667688067003
2025-01-08,Derrick Jones Jr.,LAC,DEN,ast,1.1676880191097938,0.8,24.706666599999995,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.8864176479249215,-1.3323119808902062,1.3323119808902062,0.8870440594438549,0.8872230341635502,0.8874020088832455
2025-01-08,Kris Dunn,LAC,DEN,fg3,1.1523631636826897,1.0833333333333333,23.209999399999994,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8757435994529179,-1.3476368363173103,1.3476368363173103,0.8836817251528455,0.8859497610671104,0.8882177969813755
2025-01-08,Andre Jackson Jr.,MIL,SAS,pts,3.0158765383287185,2.8956521739130436,15.7166664,nbinom,0.05344975309597418,0,pred_mean_lt_5,pts_composed,v1,4.5,under,0.8009447183350911,-1.4841234616712815,1.4841234616712815,0.8669093104442792,0.8857563367611901,0.9046033630781011
