file,season,n_rows,mp_dtype,mp_sample_1,mp_sample_2,mp_sample_3
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172824_8fe3f1f5.parquet,2026,57,object,,11:56,12:12
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172830_c6851fcb.parquet,2026,55,object,22:41,25:36,29:19
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172835_38b6e668.parquet,2026,55,object,,01:24,09:49
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172840_12ca0a37.parquet,2026,54,object,01:42,,04:03
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172846_c294842e.parquet,2026,54,object,34:24,40:05,35:08
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172851_e82eec6e.parquet,2026,57,object,36:51,36:54,29:01
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172857_1ce3f5c8.parquet,2026,56,object,,18:58,28:39
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172903_fe838408.parquet,2026,55,object,22:24,27:44,23:41
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172908_b1b04514.parquet,2026,55,object,14:07,,12:42
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172914_f782387b.parquet,2026,53,object,10:19,21:19,14:04
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172919_c991ad1d.parquet,2026,57,object,,21:16,19:41
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172924_192661fe.parquet,2026,57,object,18:42,16:33,19:06
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172930_d40baf6e.parquet,2026,56,object,,04:51,08:23
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172935_70b8de38.parquet,2026,57,object,,29:23,32:25
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172940_7bc8d188.parquet,2026,55,object,22:15,22:57,11:38
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172947_af07275d.parquet,2026,54,object,,07:14,07:31
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172953_6653f306.parquet,2026,57,object,33:04,28:01,34:19
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173001_2387f580.parquet,2026,54,object,26:58,12:39,19:13
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173008_4c582fb8.parquet,2026,56,object,,02:59,01:25
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173015_b18d5e2b.parquet,2026,57,object,38:30,38:57,27:13
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173405_167c3495.parquet,2026,56,object,20:15,29:00,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173410_293290f2.parquet,2026,57,object,,02:04,01:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173416_daff134b.parquet,2026,54,object,,03:34,09:08
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173421_2f16db67.parquet,2026,56,object,27:14,29:22,20:39
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173427_00df003c.parquet,2026,56,object,11:49,09:55,15:58
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173433_3ba4bdaf.parquet,2026,56,object,17:45,,10:22
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173437_b18f2dae.parquet,2026,57,object,,26:42,24:22
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173443_1b5bfb38.parquet,2026,57,object,07:43,16:23,18:40
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173449_6302cb2c.parquet,2026,56,object,19:23,20:21,23:11
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173453_cb241075.parquet,2026,57,object,,03:59,00:01
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173459_b9983b28.parquet,2026,56,object,26:52,37:21,31:50
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173504_4832fe59.parquet,2026,55,object,04:04,,02:10
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173509_743845da.parquet,2026,55,object,,,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173515_ab508a6e.parquet,2026,54,object,07:02,00:09,05:36
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173520_b71b9875.parquet,2026,54,object,,15:22,11:30
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173526_61302596.parquet,2026,54,object,01:42,,05:09
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173531_534fe7d4.parquet,2026,54,object,,16:15,01:56
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173537_3ce32405.parquet,2026,56,object,08:29,11:59,14:38
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173542_5c5dff83.parquet,2026,54,object,26:37,21:23,25:03
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173547_ebc09caa.parquet,2026,56,object,,09:51,17:35
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173554_c9eefbdf.parquet,2026,55,object,,16:33,06:50
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173558_d51b0cfe.parquet,2026,57,object,,00:54,07:38
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173604_d9a8e0b3.parquet,2026,55,object,,03:14,19:41
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173610_e469ea15.parquet,2026,55,object,,29:37,34:19
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173614_c67875d3.parquet,2026,57,object,29:49,26:56,26:45
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173620_9f9d5d5e.parquet,2026,56,object,07:41,,02:30
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173626_eb545429.parquet,2026,54,object,,05:13,10:15
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173631_5a8e4f72.parquet,2026,54,object,,19:30,20:25
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173636_d0a8325e.parquet,2026,57,object,,24:06,27:00
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173643_8427316c.parquet,2026,54,object,01:42,,04:10
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173648_499d109b.parquet,2026,56,object,32:01,24:39,18:56
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173656_a665e296.parquet,2026,57,object,34:49,25:58,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173704_d57a0563.parquet,2026,55,object,24:39,19:14,28:41
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173710_25c5e83d.parquet,2026,57,object,,07:38,02:44
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173717_07119de6.parquet,2026,54,object,26:14,26:16,29:04
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173724_591c879f.parquet,2026,56,object,40:50,32:02,36:08
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173730_ae7829f2.parquet,2026,56,object,,01:29,01:41
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_173737_794f557e.parquet,2026,55,object,04:04,,02:10
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065159_d9e2632f.parquet,2026,55,object,17:40,23:14,22:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065203_7192a4d2.parquet,2026,50,object,,14:00,01:16
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065209_547d0643.parquet,2026,56,object,,00:41,01:14
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065215_dcc271c0.parquet,2026,56,object,05:47,03:13,00:20
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065219_cf7d8482.parquet,2026,56,object,31:38,29:01,30:42
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065224_dbfd6ef7.parquet,2026,54,object,23:30,19:34,14:26
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065230_cea75987.parquet,2026,57,object,23:07,26:56,24:39
