stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
pts,31-36,9-10,0,,,,,,,
pts,31-36,<=1,0,,,,,,,
pts,31-36,<=10,39,9.07348629207504,9.871794871794872,3.7073918629623086,0.7983085797198303,4.913337896439888,0.5128205128205128,0.3076923076923077
pts,31-36,<=2,0,,,,,,,
pts,31-36,<=4,0,,,,,,,
pts,37+,11+,0,,,,,,,
pts,37+,11-12,0,,,,,,,
pts,37+,11-15,6,13.986844307934845,17.166666666666668,3.7871587456616713,3.179822358731822,4.463974680023649,0.8333333333333334,0.6666666666666666
pts,37+,13+,0,,,,,,,
pts,37+,16-20,26,17.57693495839517,15.153846153846153,6.72124416749542,-2.4230888045490184,8.054009665171781,0.34615384615384615,0.23076923076923078
pts,37+,2,0,,,,,,,
pts,37+,21-25,23,22.25654973711055,19.869565217391305,5.969211449311293,-2.386984519719244,7.416663630333161,0.34782608695652173,0.34782608695652173
pts,37+,26-30,19,27.737051808627466,30.68421052631579,6.4946213725013235,2.9471587176883225,9.17316016256551,0.5789473684210527,0.7894736842105263
pts,37+,3,0,,,,,,,
pts,37+,3-4,0,,,,,,,
pts,37+,31+,7,32.037332570861864,25.142857142857142,6.894475428004725,-6.894475428004725,7.939210373212647,0.0,0.2857142857142857
pts,37+,4,0,,,,,,,
pts,37+,5,0,,,,,,,
pts,37+,5-6,0,,,,,,,
pts,37+,7-8,0,,,,,,,
pts,37+,9-10,0,,,,,,,
pts,37+,<=1,0,,,,,,,
pts,37+,<=10,0,,,,,,,
pts,37+,<=2,0,,,,,,,
pts,37+,<=4,0,,,,,,,
pts,,11+,0,,,,,,,
pts,,11-12,0,,,,,,,
pts,,11-15,144,12.078015695750462,11.583333333333334,5.020980193263391,-0.49468236241712965,6.37980775277058,0.4166666666666667,0.4583333333333333
pts,,13+,0,,,,,,,
pts,,16-20,54,17.43515820822236,19.296296296296298,6.80486739077287,1.8611380880739328,8.315097349892246,0.5740740740740741,0.46296296296296297
pts,,2,0,,,,,,,
pts,,21-25,40,21.782313055076894,22.3,5.863074737549849,0.5176869449231062,6.862354785524855,0.55,0.425
pts,,26-30,6,26.662389365796155,20.833333333333332,9.238556205419533,-5.82905603246282,10.349545725470263,0.16666666666666666,0.16666666666666666
pts,,3,0,,,,,,,
pts,,3-4,0,,,,,,,
pts,,31+,0,,,,,,,
pts,,4,0,,,,,,,
pts,,5,0,,,,,,,
pts,,5-6,0,,,,,,,
pts,,7-8,0,,,,,,,
pts,,9-10,0,,,,,,,
pts,,<=1,0,,,,,,,
pts,,<=10,231,7.409268281848964,5.813852813852814,4.101075264467773,-1.59541546799615,4.856275482305257,0.3463203463203463,0.45021645021645024
pts,,<=2,0,,,,,,,
pts,,<=4,0,,,,,,,
reb,<=16,11+,0,,,,,,,
reb,<=16,11-12,0,,,,,,,
reb,<=16,11-15,0,,,,,,,
reb,<=16,13+,0,,,,,,,
reb,<=16,16-20,0,,,,,,,
reb,<=16,2,0,,,,,,,
reb,<=16,21-25,0,,,,,,,
reb,<=16,26-30,0,,,,,,,
reb,<=16,3,0,,,,,,,
reb,<=16,3-4,0,,,,,,,
reb,<=16,31+,0,,,,,,,
reb,<=16,4,0,,,,,,,
reb,<=16,5,0,,,,,,,
reb,<=16,5-6,21,4.801184661402213,4.380952380952381,2.202050174868023,-0.4202322804498317,2.6390112470735296,0.3333333333333333,0.38095238095238093
reb,<=16,7-8,3,6.635593651625954,7.0,2.778773166039891,0.36440634837404556,3.1656385011495276,0.3333333333333333,0.6666666666666666
reb,<=16,9-10,0,,,,,,,
reb,<=16,<=1,0,,,,,,,
reb,<=16,<=10,0,,,,,,,
reb,<=16,<=2,0,,,,,,,
reb,<=16,<=4,89,2.620851274594006,2.662921348314607,1.658691293451335,0.04207007372060088,2.150534687421823,0.38202247191011235,0.5168539325842697
reb,17-24,11+,0,,,,,,,
reb,17-24,11-12,0,,,,,,,
