player,n,actual_mean,pred_mean,mae,bias
Zach LaVine,51,3.549019607843137,4.419778017780435,2.132347306215632,-0.8707584099372974
Cody Williams,51,3.0392156862745097,3.1787522832545583,1.8656288289427356,-0.13953659698004828
Luguentz Dort,51,3.9215686274509802,4.5474362406111295,1.7267537527868646,-0.6258676131601494
Pelle Larsson,51,3.235294117647059,3.2751007070522418,1.7241757849488675,-0.0398065894051831
Taurean Prince,51,3.3137254901960786,3.7545909308581935,1.6573597948255758,-0.44086544066211514
Sidy Cissoko(TW),51,2.5294117647058822,2.486984991667391,1.5761779978444896,0.04242677303849124
Nikola Jović,50,3.92,4.2727097265422955,1.9938826641966785,-0.3527097265422958
Dean Wade,50,4.08,4.484327385491204,1.823561119353355,-0.4043273854912043
Malik Beasley,50,2.34,3.27790689640285,1.6465200986351478,-0.9379068964028501
Bones Hyland,50,1.64,2.2371616409936848,1.4910127074786381,-0.597161640993685
Cam Spencer,50,2.46,2.743690919802357,1.3885060005604983,-0.2836909198023565
Kelly Oubre Jr.,49,5.612244897959184,5.718349214967233,2.487551089647352,-0.10610431700804968
Julian Strawther,49,2.326530612244898,2.813908817153132,1.7875893077196,-0.4873782049082339
Franz Wagner,49,6.020408163265306,6.015200733659712,1.5786144340110688,0.005207429605593972
Rob Dillingham,49,1.7959183673469388,2.2792101978015338,1.4127363984490906,-0.4832918304545951
Bennedict Mathurin,48,5.229166666666667,5.657064841586089,2.199508957036279,-0.42789817491942234
Guerschon Yabusele,48,4.229166666666667,4.1776829588204984,2.030633200925364,0.051483707846168125
Obi Toppin,48,4.166666666666667,4.390140011034982,1.8739964553938613,-0.22347334436831634
Dru Smith,48,2.4375,3.000491276697033,1.6865307024869418,-0.562991276697033
GG Jackson II,47,4.446808510638298,3.9376316355957286,2.191616608395466,0.5091768750425689
Keegan Murray,47,5.9787234042553195,6.329041987104827,2.08595671601204,-0.35031858284950756
Bilal Coulibaly,47,4.723404255319149,5.235477186167042,1.801950366934895,-0.5120729308478933
Klay Thompson,47,3.0,3.621875655775222,1.5575363078390707,-0.6218756557752219
Spencer Dinwiddie,47,3.0,3.2670947170225384,1.4423565872729749,-0.2670947170225382
Gabe Vincent,47,1.1063829787234043,2.193798780326517,1.3932639458023177,-1.0874158016031124
Donovan Mitchell,46,4.065217391304348,4.874886323983725,2.2630561088786942,-0.8096689326793778
Ace Bailey,46,4.065217391304348,4.0308529506243325,1.9082633431128064,0.0343644406800156
VJ Edgecombe,46,5.956521739130435,5.707350593739521,1.8132299535742937,0.24917114539091467
Miles McBride,46,2.4782608695652173,3.27017845952987,1.529308998494092,-0.7919175899646528
Sam Merrill,46,2.739130434782609,2.7180071404115167,1.2728600087442035,0.02112329437109193
Dominick Barlow(TW),45,5.066666666666666,5.068459545770717,2.6015073737233383,-0.0017928791040512592
Grayson Allen,45,3.488888888888889,3.6448677255880564,1.6928578301616852,-0.15597883669916715
Jordan Clarkson,45,1.8,2.730017231978106,1.3677927970010935,-0.9300172319781065
Nikola Vučević,44,8.295454545454545,9.741719563386567,3.428634816064718,-1.4462650179320222
Luka Dončić,44,7.863636363636363,8.77366960829612,2.4909548613680235,-0.9100332446597548
